Date,Rainfall_Terni,Flow_Rate_Lupa
1/1/2009,2.797,
2/1/2009,2.797,
3/1/2009,2.797,
4/1/2009,2.797,
5/1/2009,2.797,
6/1/2009,2.797,
7/1/2009,2.797,
8/1/2009,2.797,
9/1/2009,2.797,
10/1/2009,2.797,
11/1/2009,2.797,
12/1/2009,2.797,
13/01/2009,2.797,
14/01/2009,2.797,
15/01/2009,2.797,
16/01/2009,2.797,
17/01/2009,2.797,
18/01/2009,2.797,
19/01/2009,2.797,
20/01/2009,2.797,
21/01/2009,2.797,
22/01/2009,2.797,
23/01/2009,2.797,
24/01/2009,2.797,
25/01/2009,2.797,
26/01/2009,2.797,
27/01/2009,2.797,
28/01/2009,2.797,
29/01/2009,2.797,
30/01/2009,2.797,
31/01/2009,2.797,
1/2/2009,2.763,
2/2/2009,2.763,
3/2/2009,2.763,
4/2/2009,2.763,
5/2/2009,2.763,
6/2/2009,2.763,
7/2/2009,2.763,
8/2/2009,2.763,
9/2/2009,2.763,
10/2/2009,2.763,
11/2/2009,2.763,
12/2/2009,2.763,
13/02/2009,2.763,
14/02/2009,2.763,
15/02/2009,2.763,
16/02/2009,2.763,
17/02/2009,2.763,
18/02/2009,2.763,
19/02/2009,2.763,-166.02
20/02/2009,2.763,-166.97
21/02/2009,2.763,-167.72
22/02/2009,2.763,-168.65
23/02/2009,2.763,-169.42
24/02/2009,2.763,-170.21
25/02/2009,2.763,-171.1
26/02/2009,2.763,-171.69
27/02/2009,2.763,-172.07
28/02/2009,2.763,-172.33
1/3/2009,2.076,-172.68
2/3/2009,2.076,-172.88
3/3/2009,2.076,-173.15
4/3/2009,2.076,-173.55
5/3/2009,2.076,-173.83
6/3/2009,2.076,-175.7
7/3/2009,2.076,-176.86
8/3/2009,2.076,-177.86
9/3/2009,2.076,-178.9
10/3/2009,2.076,-180.08
11/3/2009,2.076,-180.45
12/3/2009,2.076,-181.34
13/03/2009,2.076,-181.77
14/03/2009,2.076,-181.71
15/03/2009,2.076,-181.83
16/03/2009,2.076,-181.8
17/03/2009,2.076,-181.9
18/03/2009,2.076,-181.86
19/03/2009,2.076,-182.02
20/03/2009,2.076,-182.14
21/03/2009,2.076,-182.31
22/03/2009,2.076,-182.13
23/03/2009,2.076,-182.04
24/03/2009,2.076,-182
25/03/2009,2.076,-182.03
26/03/2009,2.076,-181.87
27/03/2009,2.076,-181.64
28/03/2009,2.076,-181.4
29/03/2009,2.076,-180.9
30/03/2009,2.076,-180.61
31/03/2009,2.076,-180.42
1/4/2009,2.79,-180.18
2/4/2009,2.79,-179.95
3/4/2009,2.79,-179.92
4/4/2009,2.79,-179.89
5/4/2009,2.79,-179.94
6/4/2009,2.79,-180.3
7/4/2009,2.79,-180.43
8/4/2009,2.79,-180.45
9/4/2009,2.79,-180.46
10/4/2009,2.79,
11/4/2009,2.79,
12/4/2009,2.79,
13/04/2009,2.79,
14/04/2009,2.79,
15/04/2009,2.79,
16/04/2009,2.79,
17/04/2009,2.79,
18/04/2009,2.79,
19/04/2009,2.79,
20/04/2009,2.79,
21/04/2009,2.79,
22/04/2009,2.79,
23/04/2009,2.79,
24/04/2009,2.79,
25/04/2009,2.79,
26/04/2009,2.79,
27/04/2009,2.79,
28/04/2009,2.79,
29/04/2009,2.79,
30/04/2009,2.79,
1/5/2009,1.139,
2/5/2009,1.139,
3/5/2009,1.139,
4/5/2009,1.139,
5/5/2009,1.139,
6/5/2009,1.139,
7/5/2009,1.139,
8/5/2009,1.139,
9/5/2009,1.139,
10/5/2009,1.139,
11/5/2009,1.139,
12/5/2009,1.139,
13/05/2009,1.139,
14/05/2009,1.139,
15/05/2009,1.139,
16/05/2009,1.139,
17/05/2009,1.139,
18/05/2009,1.139,
19/05/2009,1.139,
20/05/2009,1.139,
21/05/2009,1.139,
22/05/2009,1.139,
23/05/2009,1.139,
24/05/2009,1.139,
25/05/2009,1.139,
26/05/2009,1.139,
27/05/2009,1.139,
28/05/2009,1.139,
29/05/2009,1.139,
30/05/2009,1.139,-157.37
31/05/2009,1.139,-156.32
1/6/2009,3.062,-156.61
2/6/2009,3.062,-156.68
3/6/2009,3.062,-156.36
4/6/2009,3.062,-155.79
5/6/2009,3.062,-155.1
6/6/2009,3.062,-154.31
7/6/2009,3.062,-153.18
8/6/2009,3.062,-152.38
9/6/2009,3.062,-151.77
10/6/2009,3.062,-150.98
11/6/2009,3.062,-150.15
12/6/2009,3.062,-149.33
13/06/2009,3.062,-148.52
14/06/2009,3.062,-147.58
15/06/2009,3.062,-146.84
16/06/2009,3.062,-145.97
17/06/2009,3.062,-145.3
18/06/2009,3.062,-144.49
19/06/2009,3.062,-143.63
20/06/2009,3.062,-142.61
21/06/2009,3.062,-141.92
22/06/2009,3.062,-141.6
23/06/2009,3.062,-140.56
24/06/2009,3.062,-140.06
25/06/2009,3.062,-139.6
26/06/2009,3.062,-138.93
27/06/2009,3.062,-138.09
28/06/2009,3.062,-137.4
29/06/2009,3.062,-136.73
30/06/2009,3.062,-135.97
1/7/2009,1.276,-134.99
2/7/2009,1.276,-134.52
3/7/2009,1.276,-134.31
4/7/2009,1.276,-133.7
5/7/2009,1.276,-133.56
6/7/2009,1.276,-134.17
7/7/2009,1.276,-133.88
8/7/2009,1.276,-133.62
9/7/2009,1.276,-132.81
10/7/2009,1.276,-132.12
11/7/2009,1.276,-131.21
12/7/2009,1.276,-130.35
13/07/2009,1.276,-129.62
14/07/2009,1.276,-128.9
15/07/2009,1.276,-128.23
16/07/2009,1.276,-127.51
17/07/2009,1.276,-126.75
18/07/2009,1.276,-125.65
19/07/2009,1.276,-124.86
20/07/2009,1.276,-124.47
21/07/2009,1.276,-123.8
22/07/2009,1.276,-123.12
23/07/2009,1.276,-122.42
24/07/2009,1.276,-121.83
25/07/2009,1.276,-121.13
26/07/2009,1.276,-120.47
27/07/2009,1.276,-119.98
28/07/2009,1.276,-119.35
29/07/2009,1.276,-118.77
30/07/2009,1.276,-118.39
31/07/2009,1.276,-117.86
1/8/2009,0.95,-117.19
2/8/2009,0.95,-116.51
3/8/2009,0.95,-116.11
4/8/2009,0.95,-115.68
5/8/2009,0.95,-115.22
6/8/2009,0.95,-114.8
7/8/2009,0.95,-114.36
